	Model	day1	day2
1	old	375	488
2	old	425	354
3	old	231	313
4	old	269	218
5	old	340	314
6	old	434	553
7	old	343	277
8	old	355	413
9	old	170	274
10	old	422	481
11	old	151	249
12	old	163	236
13	old	358	292
14	old	316	347
15	old	293	270
16	old	283	172
17	old	368	372
18	old	194	296
19	old	208	103
20	old	371	420
21	new	354	374
22	new	358	373
23	new	320	295
24	new	166	157
25	new	384	368
26	new	297	292
27	new	307	313
28	new	312	344
29	new	327	363
30	new	285	315
31	new	431	404
32	new	279	301
33	new	336	324
34	new	296	279
35	new	458	469
36	new	252	231
37	new	328	304
38	new	334	353
39	new	330	327
40	new	506	520
