time;countRate
1;18
2;29
3;25
4;25
5;20
6;22
7;21
8;14
9;26
10;25
11;18
12;18
13;28
14;19
15;18
16;14
17;25
18;12
19;19
20;18
21;20
22;23
23;16
24;20
25;19
26;21
27;31
28;23
29;20
30;14
31;21
32;13
33;15
34;23
35;18
36;14
37;21
38;19
39;21
40;12
41;15
42;18
43;14
44;24
45;25
46;21
47;11
48;19
49;17
50;13
51;18
52;16
53;22
54;20
55;17
56;18
57;17
58;17
59;16
60;13
61;18
62;17
63;18
64;30
65;23
66;16
67;26
68;24
69;18
70;23
71;21
72;23
73;21
74;15
75;26
76;24
77;16
78;15
79;21
80;19
81;17
82;13
83;20
84;19
85;24
86;14
87;17
88;20
89;16
90;22
91;26
92;24
93;22
94;14
95;18
96;31
97;23
98;15
99;22
100;14
