time;countRate10savg
1;209
2;194
3;188
4;174
5;188
6;189
7;216
8;205
9;167
10;198
11;210
12;193
13;187
14;182
15;188
16;175
17;206
18;207
19;190
20;189
21;189
22;188
23;209
24;197
25;193
26;214
27;185
28;200
29;171
30;193
31;201
32;208
33;192
34;185
35;209
36;181
37;183
38;225
39;191
40;220
41;202
42;205
43;208
44;171
45;206
46;166
47;180
48;212
49;165
50;197
51;193
52;180
53;175
54;203
55;211
56;218
57;194
58;182
59;206
60;177
61;198
62;190
63;194
64;221
65;199
66;205
67;211
68;202
69;221
70;192
71;176
72;206
73;200
74;206
75;210
76;186
77;183
78;204
79;199
80;181
81;196
82;205
83;193
84;190
85;211
86;159
87;201
88;197
89;188
90;199
91;186
92;189
93;224
94;179
95;196
96;185
97;185
98;191
99;183
100;212
